line_id,product_family,automation_level,oee_mean,oee_std,availability_mean,performance_mean,quality_mean,shifts
MFG-LINE-PLT-001-01,pharmaceutical,lights_out,0.6630705882352941,0.135256973962906,0.879489411764706,0.7527611764705882,0.9987811764705883,85
MFG-LINE-PLT-001-02,pharmaceutical,manual,0.6863714285714285,0.11608507143265154,0.9023657142857142,0.7633714285714286,0.9971071428571429,70
MFG-LINE-PLT-002-01,electronics_pcb,highly_automated,0.6099064935064935,0.14553807092599008,0.8305454545454545,0.7313363636363637,0.9973090909090909,77
MFG-LINE-PLT-002-02,electronics_pcb,lights_out,0.7354924050632912,0.11809309319145687,0.9421303797468356,0.781253164556962,0.9992645569620253,79
MFG-LINE-PLT-002-03,electronics_pcb,highly_automated,0.6716652777777777,0.1467393014165034,0.8871819444444444,0.755073611111111,0.9971652777777779,72
MFG-LINE-PLT-002-04,electronics_pcb,manual,0.6633450000000001,0.15043081524996024,0.86527,0.7670239999999999,0.9972679999999999,100
MFG-LINE-PLT-003-01,electronics_pcb,highly_automated,0.5978868421052631,0.16133443388779328,0.792525,0.7501342105263158,0.9984710526315789,76
MFG-LINE-PLT-003-02,electronics_pcb,semi_automated,0.6279275,0.12840074724239361,0.8282925000000001,0.75794,0.9969775000000001,80
MFG-LINE-PLT-003-03,electronics_pcb,highly_automated,0.6115516853932584,0.14991755166845386,0.7958640449438202,0.7637617977528091,0.9990123595505618,89
MFG-LINE-PLT-003-04,electronics_pcb,highly_automated,0.6733115384615385,0.12716329616327543,0.8839051282051281,0.7627935897435898,0.9984051282051283,78
MFG-LINE-PLT-003-05,electronics_pcb,semi_automated,0.7062780487804878,0.12763767974220191,0.9050890243902439,0.7840878048780487,0.9973695121951219,82
MFG-LINE-PLT-004-01,industrial_machinery,highly_automated,0.6099428571428572,0.12187925093929565,0.7837802197802197,0.7876417582417582,0.9867714285714285,91
MFG-LINE-PLT-004-02,industrial_machinery,manual,0.7012386363636364,0.13436692552105667,0.9094647727272727,0.7792431818181819,0.9852818181818183,88
MFG-LINE-PLT-004-03,industrial_machinery,highly_automated,0.5850636363636363,0.13296919804226912,0.7747147727272726,0.7635727272727273,0.9908420454545456,88
MFG-LINE-PLT-004-04,industrial_machinery,manual,0.676810989010989,0.12560031798486768,0.8988516483516484,0.7671516483516484,0.9832758241758242,91
MFG-LINE-PLT-004-05,industrial_machinery,highly_automated,0.6739641304347826,0.13155675462798003,0.8991869565217392,0.7555499999999999,0.9913369565217391,92
MFG-LINE-PLT-004-06,industrial_machinery,semi_automated,0.672127380952381,0.13887201557956244,0.8829309523809524,0.7665892857142858,0.9921904761904761,84
MFG-LINE-PLT-004-07,industrial_machinery,highly_automated,0.5900871794871795,0.16196033213151048,0.7915346153846153,0.7485717948717948,0.9861807692307692,78
MFG-LINE-PLT-005-01,automotive_body,semi_automated,0.639681081081081,0.14228603901101963,0.8408675675675676,0.7570662162162162,0.9976756756756757,74
MFG-LINE-PLT-005-02,automotive_body,cobotic,0.7272728260869564,0.12344337234757019,0.9274391304347825,0.784132608695652,0.9974891304347827,92
MFG-LINE-PLT-005-03,automotive_body,highly_automated,0.6075246753246754,0.13644715205591332,0.7954844155844155,0.764422077922078,0.9963467532467533,77
MFG-LINE-PLT-005-04,automotive_body,semi_automated,0.636909090909091,0.12431824441093484,0.8383420454545455,0.7615681818181819,0.9971204545454545,88
MFG-LINE-PLT-005-05,automotive_body,lights_out,0.6600786516853933,0.12190186764166094,0.8883202247191012,0.7445786516853933,0.9964539325842696,89
MFG-LINE-PLT-005-06,automotive_body,highly_automated,0.5779662921348314,0.1473849288765956,0.7793741573033708,0.742094382022472,0.9946988764044944,89
MFG-LINE-PLT-006-01,food_beverage,semi_automated,0.6398558441558442,0.15433696260004268,0.8102259740259741,0.7840545454545454,0.9968805194805195,77
MFG-LINE-PLT-006-02,food_beverage,semi_automated,0.652879746835443,0.1382056071256182,0.8397772151898734,0.7777126582278482,0.9976924050632912,79
MFG-LINE-PLT-007-01,industrial_machinery,lights_out,0.6832402173913044,0.12337509594263069,0.9010695652173912,0.7640076086956522,0.9904978260869565,92
MFG-LINE-PLT-007-02,industrial_machinery,semi_automated,0.6369083333333333,0.12642748157972436,0.8419013888888889,0.7653541666666667,0.9859972222222222,72
MFG-LINE-PLT-008-01,medical_devices,semi_automated,0.6769170731707317,0.16345086157421318,0.8823682926829269,0.7661012195121951,0.9933134146341464,82
MFG-LINE-PLT-008-02,medical_devices,cobotic,0.7034289156626506,0.1201155252146464,0.9171216867469879,0.7694253012048192,0.9978867469879519,83
MFG-LINE-PLT-009-01,automotive_body,semi_automated,0.6242275362318841,0.12235944263191756,0.8309811594202898,0.7543304347826087,0.9959202898550725,69
MFG-LINE-PLT-009-02,automotive_body,highly_automated,0.666880487804878,0.13554580241691566,0.8683914634146341,0.7682804878048781,0.9980756097560977,82
MFG-LINE-PLT-010-01,industrial_machinery,cobotic,0.6334182795698925,0.147628809597229,0.8614591397849463,0.7415817204301075,0.9824688172043011,93
MFG-LINE-PLT-010-02,industrial_machinery,manual,0.6726846153846154,0.1373111000676865,0.8858833333333334,0.7692064102564102,0.9822961538461539,78
MFG-LINE-PLT-010-03,industrial_machinery,semi_automated,0.6154356435643564,0.14635290812563884,0.8357970297029702,0.7366069306930694,0.9955128712871287,101
MFG-LINE-PLT-010-04,industrial_machinery,semi_automated,0.6845457831325301,0.12967254848101872,0.8920698795180723,0.7757433734939759,0.9853722891566264,83
