line_id,bottleneck_station_id,count,avg_utilisation,avg_oee
MFG-LINE-PLT-003-02,WC-001,80,89.884875,0.6279275
MFG-LINE-PLT-004-04,WC-002,48,94.04416666666667,0.6862229166666666
MFG-LINE-PLT-004-02,WC-002,47,96.31595744680853,0.7125510638297872
MFG-LINE-PLT-004-04,WC-001,43,96.06395348837209,0.6663046511627907
MFG-LINE-PLT-007-02,WC-001,43,95.16790697674418,0.6387348837209302
MFG-LINE-PLT-004-02,WC-001,41,95.13707317073171,0.6882707317073171
MFG-LINE-PLT-005-03,WC-001,40,91.84049999999999,0.5897025
MFG-LINE-PLT-002-01,WC-001,39,91.92435897435898,0.6008538461538462
MFG-LINE-PLT-002-01,WC-002,38,92.0621052631579,0.6191973684210526
MFG-LINE-PLT-005-03,WC-002,37,92.32243243243242,0.626791891891892
MFG-LINE-PLT-003-03,WC-003,35,93.326,0.6066542857142857
MFG-LINE-PLT-009-02,WC-003,35,93.02085714285714,0.6492314285714286
MFG-LINE-PLT-005-05,WC-002,34,92.21764705882353,0.6850882352941177
MFG-LINE-PLT-008-01,WC-002,33,94.57484848484847,0.7093666666666666
MFG-LINE-PLT-004-06,WC-003,30,96.19366666666666,0.6537366666666667
MFG-LINE-PLT-004-06,WC-002,30,95.42333333333333,0.6787500000000001
MFG-LINE-PLT-007-02,WC-002,29,92.07689655172413,0.6342
MFG-LINE-PLT-005-05,WC-003,28,91.88642857142858,0.6346357142857143
MFG-LINE-PLT-010-01,WC-001,28,94.81821428571428,0.6649035714285715
MFG-LINE-PLT-003-03,WC-001,28,92.30321428571428,0.5970928571428571
MFG-LINE-PLT-005-05,WC-001,27,91.71962962962962,0.6549703703703704
MFG-LINE-PLT-003-03,WC-002,26,92.84461538461538,0.6337153846153847
MFG-LINE-PLT-009-02,WC-002,26,93.07153846153847,0.6903615384615385
MFG-LINE-PLT-008-01,WC-001,26,94.43923076923078,0.6400730769230769
MFG-LINE-PLT-005-04,WC-001,26,95.1226923076923,0.6693961538461538
MFG-LINE-PLT-010-01,WC-002,25,94.93520000000001,0.630584
MFG-LINE-PLT-004-06,WC-001,24,95.82000000000001,0.6868375000000001
MFG-LINE-PLT-005-01,WC-004,24,96.04916666666666,0.6655708333333333
MFG-LINE-PLT-005-04,WC-003,23,95.37913043478262,0.5863565217391304
MFG-LINE-PLT-008-01,WC-003,23,95.43782608695653,0.6720086956521739
MFG-LINE-PLT-002-04,WC-002,22,98.98409090909091,0.6873363636363636
MFG-LINE-PLT-005-04,WC-002,22,94.95181818181818,0.6470727272727272
MFG-LINE-PLT-010-01,WC-003,22,94.25409090909092,0.6259454545454545
MFG-LINE-PLT-003-05,WC-005,21,96.39047619047619,0.7002238095238095
MFG-LINE-PLT-004-03,WC-004,21,92.83999999999999,0.5693952380952381
MFG-LINE-PLT-009-02,WC-001,21,92.50619047619048,0.6672238095238094
