plant_id,Avg_Bottleneck_Risk,Max_Bottleneck_Risk,Avg_OEE,Total_Unplanned_Downtime,Production_Records
PLT-001,0.3646758522838715,0.9157507039753032,0.6735935483870967,7592.285326044634,155
PLT-002,0.39514484193610666,0.995639457915508,0.6700033536585366,17632.022536893706,328
PLT-003,0.3529255671918184,0.8826904994244873,0.6432958024691359,29186.819007443286,405
PLT-004,0.40591095978078956,0.8922714561632232,0.6450643790849674,41491.15154697808,612
PLT-005,0.3507565275456276,0.8609901978465568,0.642944793713163,35002.6396504674,509
PLT-006,0.9523003555306249,0.9993742368034471,0.6464512820512821,12183.898535292019,156
PLT-007,0.28259218037228384,0.8730320430958944,0.6628993902439024,9162.5,164
PLT-008,0.5205034351648006,0.7896876397230029,0.6902533333333334,7426.007324159415,165
PLT-009,0.45622479898329554,0.9685511497067215,0.6473900662251656,10121.6,151
PLT-010,0.7224721475580477,0.9783904622712246,0.6488833802816901,21181.73949172803,355
