plant_id,Avg_Bottleneck_Risk,Avg_OEE,Total_Unplanned_Downtime,Total_Downtime_Cost,Expected_Downtime_Exposure,Disruption_Level,OEE_Risk,Financial_Risk,Priority_Score,Recommendation
PLT-006,0.9523003555306249,0.6464512820512821,12183.898535292019,974711.89,928218.4793869273,Critical,0.3535487179487179,0.3047012962153213,0.6382703102196524,Immediate bottleneck investigation | Prioritize maintenance resources | Review production scheduling | Investigate low OEE
PLT-010,0.7224721475580477,0.6488833802816901,21181.73949172803,2118173.95,1530321.682558013,Critical,0.3511166197183099,0.5788137080113771,0.6051035101260989,Immediate bottleneck investigation | Prioritize maintenance resources | Review production scheduling | Investigate low OEE | Review downtime reduction and production scheduling
PLT-005,0.3507565275456276,0.642944793713163,35002.6396504674,7000527.93,2455480.86771298,Medium,0.35705520628683696,1.0,0.5467893050301812,Continue routine bottleneck monitoring | Investigate low OEE | High financial exposure — prioritize production continuity
PLT-004,0.40591095978078956,0.6450643790849674,41491.15154697808,4149115.15,1684171.3127775146,High,0.3549356209150326,0.6488550115143181,0.46859910752769673,Monitor bottleneck station closely | Schedule preventive maintenance | Investigate low OEE | Review downtime reduction and production scheduling
PLT-003,0.3529255671918184,0.6432958024691359,29186.819007443286,4378022.86,1545116.201044247,Medium,0.35670419753086413,0.5855490336536668,0.42346833319818206,Continue routine bottleneck monitoring | Investigate low OEE | Review downtime reduction and production scheduling
PLT-008,0.5205034351648006,0.6902533333333334,7426.007324159415,1856501.84,966315.585109773,High,0.3097466666666666,0.3220453154418247,0.41881464554828096,Monitor bottleneck station closely | Schedule preventive maintenance | Improve OEE performance | Maintain current production plan
PLT-009,0.45622479898329554,0.6473900662251656,10121.6,2024320.0,923544.9850778648,High,0.3526099337748344,0.3025736496759485,0.38940648114939924,Monitor bottleneck station closely | Schedule preventive maintenance | Investigate low OEE | Maintain current production plan
PLT-002,0.39514484193610666,0.6700033536585366,17632.022536893706,2644803.37,1045080.4095907323,Medium,0.3299966463414634,0.35790364652104656,0.37094284419266,Continue routine bottleneck monitoring | Improve OEE performance | Review downtime reduction and production scheduling
PLT-001,0.3646758522838715,0.6735935483870967,7592.285326044634,2277685.59,830616.9337679427,Medium,0.32640645161290327,0.260267393648886,0.3256994345591822,Continue routine bottleneck monitoring | Improve OEE performance | Maintain current production plan
PLT-007,0.28259218037228384,0.6628993902439024,9162.5,916250.0,258925.08526610507,Medium,0.33710060975609757,0.0,0.20871621213736144,Continue routine bottleneck monitoring | Improve OEE performance | Maintain current production plan
